time_num10.csv,num10.csv,time_num11.csv,num11.csv,time_num3.csv,num3.csv,time_num4.csv,num4.csv,time_num6.csv,num6.csv,time_num7.csv,num7.csv,time_num8.csv,num8.csv,time_num9.csv,num9.csv
4546.6,0.7743038614336056,3343.4,0.5263640422868868,3182.0,0.48368587669605817,4181.1,0.803772118627273,6313.6,0.5792036758755317,3714.0,0.7763361550331689,3611.8,0.8139335866250894,3279.2,0.6320433094641768
4583.0,0.7743038614336056,3375.5,0.5263640422868868,3214.3,0.48266972989627654,4213.2,0.803772118627273,6349.4,0.5792036758755317,3747.6,0.7763361550331689,3643.7,0.8139335866250894,3311.6,0.6320433094641768
4615.7,0.7722715678340424,3412.1,0.5263640422868868,3250.1,0.48266972989627654,4245.3,0.8027559718274914,6381.7,0.5792036758755317,3781.4,0.7753200082333873,3677.1,0.8129174398253077,3343.4,0.6320433094641768
4649.5,0.7702392742344791,3444.2,0.5253478954871051,3282.5,0.48165358309649486,4280.3,0.8007236782279281,6413.8,0.5792036758755317,3813.6,0.7732877146338241,3712.0,0.8108851462257445,3380.0,0.6300110158646135
4682.7,0.7682069806349159,3476.4,0.5233156018875419,3314.4,0.47860514269715,4312.6,0.7997075314281464,6449.6,0.5771713822759685,3845.8,0.7702392742344791,3743.7,0.8088528526261812,3414.8,0.6279787222650501
4714.7,0.765158540235571,3511.7,0.5212833082879786,3350.1,0.47555670229780506,4344.8,0.7966590910288016,6481.4,0.5761552354761867,3882.1,0.7671908338351342,3780.8,0.8058044122268363,3443.5,0.625946428665487
4746.8,0.762110099836226,3543.8,0.5182348678886337,3382.9,0.47149211509867855,4380.5,0.7936106506294567,6517.0,0.5720906482770602,3913.5,0.7641423934357893,3812.4,0.8027559718274915,3480.0,0.6218818414663604
4782.5,0.7580455126370995,3577.7,0.5131541338897256,3415.6,0.467427527899552,4412.9,0.7895460634303302,6549.3,0.5680260610779337,3958.6,0.7600778062366628,3847.1,0.7986913846283649,3511.5,0.6178172542672338
4814.8,0.7529647786381913,3611.3,0.509089546690599,3450.2,0.4623467939006438,4445.9,0.7854814762312036,6581.4,0.5639614738788072,3981.6,0.753980925437973,3876.5,0.7936106506294567,3543.5,0.6137526670681073
4846.8,0.7468678978395016,3643.8,0.5040088126916908,3482.8,0.45624991310195406,4480.7,0.7804007422322954,6614.1,0.558880739879899,4013.6,0.7489001914390647,3912.2,0.7885299166305485,3579.3,0.6076557862694175
4882.5,0.73975487024103,3675.8,0.4968957850932194,3514.7,0.44913688550348263,4512.7,0.7743038614336056,6649.4,0.5527838590812092,4045.8,0.742803310640375,3943.8,0.7824330358318587,3611.6,0.6025750522705093
4914.6,0.7326418426425586,3711.3,0.4907989042945296,3550.7,0.4420238579050111,4546.8,0.7682069806349158,6681.4,0.5466869782825194,4081.6,0.7356902830419035,3976.0,0.7753200082333873,3643.2,0.5954620246720379
4946.5,0.7255288150440872,3743.8,0.48368587669605817,3582.0,0.4328785367069764,4580.6,0.7600778062366627,6713.6,0.539573950684048,4113.5,0.7275611086436504,4011.5,0.7682069806349159,3679.4,0.5873328502737848
4982.5,0.7173996406458341,3775.8,0.47555670229780506,3614.7,0.4247493623087233,4612.6,0.7519486318384097,6749.6,0.5314447762857949,4145.7,0.7194319342453974,4045.0,0.7600778062366628,3711.1,0.5792036758755317
5014.4,0.7082543194477994,3811.4,0.46539523429998875,3650.4,0.41458789431090703,4644.7,0.7428033106403749,6781.9,0.5222994550877602,4181.5,0.7102866130473626,4075.9,0.7509324850386281,3743.7,0.570058354677497
5047.0,0.6991089982497647,3843.5,0.45624991310195406,3682.3,0.403410279513309,4680.4,0.7336579894423402,6816.9,0.5131541338897254,4213.6,0.7001251450495463,4111.7,0.7407710170408117,3779.4,0.5598968866796807
5082.8,0.6879313834521668,3875.4,0.445072298304356,3715.0,0.3932488115154926,4712.7,0.7234965214445239,6849.3,0.502992665891909,4245.6,0.6899636770517299,4144.1,0.7306095490429954,3811.6,0.5497354186818644
5115.0,0.6767537686545687,3911.1,0.4338946835067581,3750.3,0.38003890311833144,4747.4,0.7133350534467076,6882.8,0.4918150510943111,4281.8,0.678786062254132,4175.7,0.720448081045179,3843.8,0.5385578038842663
5146.8,0.6645600070571891,3944.1,0.42170092190937847,3782.1,0.3678451415209518,4781.6,0.7011412918493278,6913.6,0.4796212894969315,4313.5,0.6665923006567525,4211.8,0.7082543194477994,3879.4,0.5263640422868867
5214.5,0.6391563370626483,3976.3,0.40849101351221717,3814.3,0.35361908632400896,4812.6,0.6899636770517299,6949.6,0.4674275278995519,4345.7,0.6543985390593727,4243.7,0.6960605578504198,3911.2,0.5131541338897254
5247.1,0.625946428665487,4011.5,0.395281105115056,3850.1,0.3383768843272844,4844.7,0.6767537686545686,6981.6,0.4542176195023907,4382.2,0.6401724838624299,4277.1,0.6828506494532585,3943.3,0.5009603722923459
5284.9,0.6107042266687625,4043.6,0.381055049918113,3882.3,0.32313468233055986,4880.5,0.6625277134576257,7013.7,0.4410077111052294,4413.5,0.6269625754652686,4311.9,0.6696407410560973,3979.2,0.486734317095403
5314.6,0.5954620246720379,4075.6,0.3658128479213886,3914.6,0.30687633353405375,4913.9,0.6483016582606829,7049.6,0.42576550910850486,4445.6,0.6117203734685441,4343.9,0.6543985390593727,4011.1,0.4714921150986785
5346.5,0.5792036758755318,4111.4,0.34955449912488235,3950.3,0.28960183793776595,4946.3,0.6330594562639584,7081.4,0.40950716031199874,4481.5,0.5964781714718196,4376.1,0.6401724838624299,4044.5,0.45624991310195395
