frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,121.2,42,561,655,,,,,,,,,,,,,,,,53,660,227,,,,,,,,,,,,,,,
1,121.2,33,93,169,,,,,,,,,,,,,,,,40,450,134,,,,,,,,,,,,,,,
2,226.5,31,90,172,,,,,,,,,,,,,,,,55,1074,781,,,,,,,,,,,,,,,
3,249.6,,,,,,,,,,13,317,182,,,,,,,,,,,,,,,,13,1089,686,,,,,,
4,266.9,,,,,,,,,,11,320,177,,,,,,,,,,,,,,,,12,1086,689,,,,,,
5,282.6,,,,,,,,,,13,316,181,,,,,,,11,345,146,,,,,,,13,1089,686,,,,,,
6,296.9,,,,,,,,,,13,316,182,,,,,,,12,347,147,,,,,,,,,,,,,,,
7,306.4,,,,,,,,,,13,316,182,,,,,,,12,347,147,,,,,,,13,1088,688,,,,,,
8,323.8,,,,,,,,,,14,317,180,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
9,341.2,,,,,,,,,,14,317,181,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
10,356.3,,,,,,,,,,14,317,182,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
11,378.9,,,,,,,,,,14,317,181,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
12,414.4,,,,,,,,,,14,317,181,,,,,,,11,347,148,,,,,,,13,1090,686,,,,,,
13,446.7,,,,,,,,,,14,317,182,,,,,,,11,347,148,,,,,,,13,1090,686,,,,,,
14,478.7,,,,,,,,,,14,317,182,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
15,511.2,,,,,,,,,,14,317,181,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
16,548.2,,,,,,,,,,14,317,181,,,,,,,11,347,147,,,,,,,13,1090,686,,,,,,
