frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.5,56,25,50,,,,,,,,,,,,,,,,64,761,575,,,,,,,,,,,,,,,
1,130.5,49,21,44,,,,,,,,,,,,,,,,51,397,1013,,,,,,,,,,,,,,,
2,235.5,53,27,46,,,,,,,,,,,,,,,,59,1076,745,,,,,,,,,,,,,,,
3,256.8,16,13,10,,,,,,,,,,,,,,,,36,624,36,,,,,,,,,,,,,,,
4,278.6,38,19,86,,,,,,,,,,,,,,,,50,446,114,,,,,,,,,,,,,,,
5,293.3,,,,,,,,,,14,96,576,,,,,,,,,,,,,,,,14,1058,688,,,,,,
6,312.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1058,686,,,,,,
7,323.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1059,686,,,,,,
8,331.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1061,685,,,,,,
9,339.3,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,688,,,,,,
10,347.0,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,688,,,,,,
11,369.1,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,688,,,,,,
12,405.2,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,688,,,,,,
13,437.1,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,689,,,,,,
14,469.3,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1057,689,,,,,,
15,504.9,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,689,,,,,,
16,537.5,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,15,1058,689,,,,,,
17,569.6,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,688,,,,,,
18,605.3,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,689,,,,,,
19,637.3,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,15,1058,689,,,,,,
20,669.4,,,,,,,,,,14,95,575,,,,,,,13,242,561,,,,,,,14,1058,689,,,,,,
