frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,137.3,51,22,46,,,,,,,,,,,,,,,,55,1022,798,,,,,,,,,,,,,,,
1,137.3,50,22,45,,,,,,,,,,,,,,,,61,677,969,,,,,,,,,,,,,,,
2,258.0,50,23,45,,,,,,,,,,,,,,,,52,440,122,,,,,,,,,,,,,,,
3,281.9,50,21,45,,,,,,,,,,,,,,,,38,68,34,,,,,,,,,,,,,,,
4,300.3,51,23,46,,,,,,,,,,,,,,,,58,446,112,,,,,,,,,,,,,,,
5,314.9,,,,,,,,,,14,118,436,,,,,,,,,,,,,,,,15,1020,674,,,,,,
7,341.5,,,,,,,,,,12,115,431,,,,,,,,,,,,,,,,,,,,,,,,
8,351.5,,,,,,,,,,14,117,437,,,,,,,,,,,,,,,,8,1027,676,,,,,,
9,364.6,,,,,,,,,,8,109,440,,,,,,,,,,,,,,,,,,,,,,,,
10,378.3,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
11,389.0,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
12,405.3,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
13,437.2,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
14,469.3,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1019,675,,,,,,
15,505.0,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
16,537.1,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
17,569.4,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1019,676,,,,,,
18,605.0,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
19,637.1,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1019,676,,,,,,
20,674.9,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
21,705.3,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
22,737.3,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
23,769.4,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
24,805.2,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1019,676,,,,,,
25,838.7,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,14,1020,676,,,,,,
26,869.5,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
27,907.2,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,674,,,,,,
28,937.5,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
29,969.6,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
30,1005.4,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
31,1070.3,,,,,,,,,,15,118,436,,,,,,,,,,,,,,,,15,1020,675,,,,,,
32,1070.3,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,674,,,,,,
33,1137.6,,,,,,,,,,15,118,437,,,,,,,,,,,,,,,,15,1020,675,,,,,,
