frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,142.6,23,180,238,,,,,,,,,,,,,,,,61,136,914,,,,,,,,,,,,,,,
1,142.6,11,128,241,,,,,,,,,,,,,,,,63,677,997,,,,,,,,,,,,,,,
2,270.0,22,121,208,,,,,,,,,,,,,,,,31,956,757,,,,,,,,,,,,,,,
3,293.5,,,,,,,,,,,,,,,,,,,28,71,24,,,,,,,,,,,,,,,
4,321.0,24,53,376,,,,,,,,,,,,,,,,58,443,117,,,,,,,,,,,,,,,
5,334.8,,,,,,,,,,14,160,449,,,,,,,,,,,,,,,,14,1085,685,,,,,,
6,344.4,,,,,,,,,,14,160,449,,,,,,,,,,,,,,,,,,,,,,,,
7,354.9,,,,,,,,,,11,155,454,,,,,,,,,,,,,,,,9,1092,682,,,,,,
8,370.3,,,,,,,,,,13,159,448,,,,,,,,,,,,,,,,14,1083,687,,,,,,
9,384.0,,,,,,,,,,14,160,448,,,,,,,,,,,,,,,,14,1087,688,,,,,,
10,394.0,,,,,,,,,,15,160,449,,,,,,,13,274,448,,,,,,,14,1084,685,,,,,,
11,405.3,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,15,1084,685,,,,,,
12,413.5,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,15,1084,686,,,,,,
13,445.5,,,,,,,,,,15,160,448,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
14,481.5,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
15,513.6,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
16,546.1,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
17,581.7,,,,,,,,,,15,160,449,,,,,,,13,275,449,,,,,,,14,1084,685,,,,,,
18,613.6,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
19,645.7,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
20,682.0,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,15,1084,686,,,,,,
21,714.2,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
22,746.5,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,15,1084,685,,,,,,
23,781.7,,,,,,,,,,15,160,449,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
24,814.0,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,684,,,,,,
25,845.8,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
26,881.6,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
27,913.6,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
28,945.8,,,,,,,,,,14,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
29,981.6,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,15,1084,686,,,,,,
30,1013.6,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
31,1045.8,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,15,1084,686,,,,,,
32,1081.8,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
33,1114.1,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
34,1146.0,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,15,1084,686,,,,,,
35,1181.8,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,15,1084,686,,,,,,
36,1213.8,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,684,,,,,,
37,1245.8,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
38,1281.9,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
39,1313.9,,,,,,,,,,14,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
40,1345.8,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
41,1381.7,,,,,,,,,,14,160,449,,,,,,,12,275,448,,,,,,,15,1084,686,,,,,,
42,1417.3,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
43,1445.6,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,15,1084,685,,,,,,
44,1481.4,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
45,1514.0,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,15,1084,685,,,,,,
46,1545.7,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,14,1084,685,,,,,,
47,1582.4,,,,,,,,,,14,159,449,,,,,,,12,275,449,,,,,,,15,1084,685,,,,,,
48,1613.7,,,,,,,,,,15,160,449,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
49,1645.5,,,,,,,,,,14,160,449,,,,,,,12,275,448,,,,,,,15,1084,686,,,,,,
50,1681.6,,,,,,,,,,14,160,449,,,,,,,12,275,449,,,,,,,15,1084,685,,,,,,
51,1714.0,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,14,1084,684,,,,,,
52,1745.9,,,,,,,,,,15,160,449,,,,,,,12,275,449,,,,,,,15,1084,685,,,,,,
53,1781.9,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,14,1084,684,,,,,,
54,1813.9,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,15,1084,686,,,,,,
55,1845.8,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
56,1881.5,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
57,1919.4,,,,,,,,,,14,159,448,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
58,1946.0,,,,,,,,,,14,160,449,,,,,,,12,274,449,,,,,,,14,1084,685,,,,,,
59,1981.7,,,,,,,,,,14,160,449,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
60,2014.3,,,,,,,,,,15,160,448,,,,,,,12,274,448,,,,,,,14,1084,685,,,,,,
61,2045.8,,,,,,,,,,14,160,448,,,,,,,12,275,448,,,,,,,14,1084,685,,,,,,
62,2081.8,,,,,,,,,,14,160,449,,,,,,,12,276,449,,,,,,,15,1084,685,,,,,,
63,2113.6,,,,,,,,,,14,160,449,,,,,,,12,277,450,,,,,,,15,1084,685,,,,,,
64,2145.8,,,,,,,,,,14,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
65,2181.6,,,,,,,,,,14,160,448,,,,,,,12,283,451,,,,,,,15,1084,685,,,,,,
66,2213.9,,,,,,,,,,14,159,449,,,,,,,12,288,452,,,,,,,14,1084,685,,,,,,
67,2245.8,,,,,,,,,,14,160,448,,,,,,,12,293,453,,,,,,,14,1084,685,,,,,,
68,2281.6,,,,,,,,,,14,160,449,,,,,,,12,299,455,,,,,,,14,1084,685,,,,,,
69,2313.4,,,,,,,,,,14,159,449,,,,,,,12,305,456,,,,,,,14,1084,685,,,,,,
70,2346.2,,,,,,,,,,14,159,449,,,,,,,12,311,458,,,,,,,14,1084,685,,,,,,
71,2382.1,,,,,,,,,,14,159,448,,,,,,,12,318,460,,,,,,,14,1084,685,,,,,,
72,2414.1,,,,,,,,,,14,159,448,,,,,,,12,326,462,,,,,,,14,1084,685,,,,,,
73,2445.7,,,,,,,,,,14,159,448,,,,,,,12,335,464,,,,,,,14,1084,685,,,,,,
74,2481.9,,,,,,,,,,14,159,448,,,,,,,12,344,467,,,,,,,14,1084,685,,,,,,
75,2518.9,,,,,,,,,,14,159,448,,,,,,,12,353,469,,,,,,,15,1084,686,,,,,,
76,2545.8,,,,,,,,,,14,159,448,,,,,,,12,362,471,,,,,,,15,1084,686,,,,,,
77,2581.8,,,,,,,,,,14,159,448,,,,,,,12,372,474,,,,,,,14,1084,685,,,,,,
78,2613.9,,,,,,,,,,14,159,448,,,,,,,12,382,477,,,,,,,15,1084,685,,,,,,
79,2646.0,,,,,,,,,,14,159,448,,,,,,,12,393,479,,,,,,,14,1084,685,,,,,,
