frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.1,7,56,129,,,,,,,,,,,,,,,,53,783,566,,,,,,,,,,,,,,,
1,122.1,17,55,369,,,,,,,,,,,,,,,,61,509,567,,,,,,,,,,,,,,,
2,235.6,12,1047,129,,,,,,,,,,,,,,,,61,292,825,,,,,,,,,,,,,,,
3,256.9,58,34,47,,,,,,,,,,,,,,,,19,130,567,,,,,,,,,,,,,,,
4,276.3,21,54,371,,,,,,,,,,,,,,,,50,444,118,,,,,,,,,,,,,,,
5,296.0,,,,,,,,,,14,95,576,,,,,,,,,,,,,,,,14,1065,688,,,,,,
6,304.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1064,689,,,,,,
7,315.6,,,,,,,,,,9,94,568,,,,,,,,,,,,,,,,14,1065,688,,,,,,
8,315.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1065,688,,,,,,
9,324.4,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,689,,,,,,
10,339.0,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,689,,,,,,
11,370.9,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,690,,,,,,
12,406.6,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1065,689,,,,,,
13,438.6,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1065,689,,,,,,
14,470.7,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,13,1065,690,,,,,,
15,506.8,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,689,,,,,,
16,540.1,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,690,,,,,,
17,571.0,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,689,,,,,,
18,606.9,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,689,,,,,,
19,638.9,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,689,,,,,,
20,670.8,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
21,707.3,,,,,,,,,,15,95,577,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
22,739.2,,,,,,,,,,15,95,577,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
23,771.2,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
24,806.9,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,690,,,,,,
25,839.0,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,690,,,,,,
26,877.2,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1065,689,,,,,,
27,908.4,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1064,689,,,,,,
28,939.1,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,689,,,,,,
29,971.9,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,688,,,,,,
30,1007.0,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1065,689,,,,,,
31,1039.0,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,689,,,,,,
32,1071.6,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
33,1113.2,,,,,,,,,,15,95,577,,,,,,,13,261,564,,,,,,,14,1064,690,,,,,,
34,1141.3,,,,,,,,,,15,95,576,,,,,,,12,261,563,,,,,,,14,1064,688,,,,,,
35,1181.7,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
36,1225.8,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,689,,,,,,
37,1239.5,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1064,689,,,,,,
38,1271.3,,,,,,,,,,15,95,577,,,,,,,13,261,563,,,,,,,14,1065,688,,,,,,
39,1307.1,,,,,,,,,,15,95,577,,,,,,,12,261,563,,,,,,,14,1064,689,,,,,,
40,1339.1,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1064,689,,,,,,
41,1373.3,,,,,,,,,,15,95,576,,,,,,,13,261,564,,,,,,,14,1064,689,,,,,,
42,1406.8,,,,,,,,,,15,95,577,,,,,,,12,261,564,,,,,,,14,1064,690,,,,,,
43,1439.0,,,,,,,,,,15,95,577,,,,,,,13,261,563,,,,,,,14,1064,689,,,,,,
44,1470.9,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1065,688,,,,,,
45,1506.6,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1065,689,,,,,,
46,1538.9,,,,,,,,,,15,95,577,,,,,,,12,261,564,,,,,,,14,1065,689,,,,,,
47,1571.1,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,13,1065,690,,,,,,
48,1607.2,,,,,,,,,,15,95,577,,,,,,,13,262,563,,,,,,,14,1065,688,,,,,,
49,1639.2,,,,,,,,,,15,95,576,,,,,,,12,262,564,,,,,,,14,1065,689,,,,,,
50,1671.0,,,,,,,,,,15,95,576,,,,,,,13,262,564,,,,,,,14,1065,688,,,,,,
51,1707.1,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1065,688,,,,,,
52,1738.9,,,,,,,,,,15,95,577,,,,,,,13,262,563,,,,,,,14,1065,688,,,,,,
53,1771.0,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1064,688,,,,,,
54,1808.3,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1064,689,,,,,,
55,1838.9,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1065,689,,,,,,
56,1871.4,,,,,,,,,,15,95,576,,,,,,,12,261,563,,,,,,,14,1064,689,,,,,,
57,1906.8,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1065,688,,,,,,
58,1938.8,,,,,,,,,,14,95,576,,,,,,,12,261,564,,,,,,,14,1065,689,,,,,,
59,1971.0,,,,,,,,,,15,95,576,,,,,,,12,262,564,,,,,,,14,1064,688,,,,,,
60,2009.1,,,,,,,,,,15,95,575,,,,,,,12,261,563,,,,,,,14,1065,689,,,,,,
61,2038.9,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1065,689,,,,,,
62,2071.0,,,,,,,,,,15,95,576,,,,,,,13,262,563,,,,,,,14,1064,689,,,,,,
63,2107.0,,,,,,,,,,15,95,576,,,,,,,12,262,563,,,,,,,14,1065,688,,,,,,
64,2138.9,,,,,,,,,,15,95,576,,,,,,,12,261,564,,,,,,,14,1064,689,,,,,,
65,2171.5,,,,,,,,,,15,95,576,,,,,,,12,261,563,,,,,,,14,1065,688,,,,,,
66,2209.2,,,,,,,,,,15,95,575,,,,,,,12,262,564,,,,,,,14,1064,688,,,,,,
