frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.4,21,120,207,,,,,,,,,,,,,,,,62,547,480,,,,,,,,,,,,,,,
1,139.4,12,1049,129,,,,,,,,,,,,,,,,61,1088,788,,,,,,,,,,,,,,,
2,249.6,22,50,380,,,,,,,,,,,,,,,,52,54,923,,,,,,,,,,,,,,,
3,272.0,7,3,7,,,,,,,,,,,,,,,,26,72,23,,,,,,,,,,,,,,,
4,288.0,8,1053,137,,,,,,,,,,,,,,,,36,449,125,,,,,,,,,,,,,,,
5,298.1,,,,,,,,,,14,160,448,,,,,,,,,,,,,,,,14,1084,685,,,,,,
6,312.6,,,,,,,,,,12,162,447,,,,,,,,,,,,,,,,14,1085,685,,,,,,
7,323.2,,,,,,,,,,14,160,448,,,,,,,,,,,,,,,,8,1085,691,,,,,,
8,333.5,,,,,,,,,,14,160,448,,,,,,,,,,,,,,,,8,1076,680,,,,,,
9,344.5,,,,,,,,,,15,159,448,,,,,,,13,280,450,,,,,,,14,1084,685,,,,,,
10,353.5,,,,,,,,,,14,160,450,,,,,,,12,280,451,,,,,,,14,1084,685,,,,,,
11,380.5,,,,,,,,,,15,160,449,,,,,,,12,281,450,,,,,,,14,1084,685,,,,,,
12,412.4,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
13,444.6,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
14,482.8,,,,,,,,,,14,160,450,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
15,513.0,,,,,,,,,,14,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
16,545.5,,,,,,,,,,14,160,450,,,,,,,12,280,450,,,,,,,15,1084,685,,,,,,
17,580.9,,,,,,,,,,15,159,448,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
18,612.7,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
19,645.9,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
20,680.7,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,15,1084,685,,,,,,
21,715.8,,,,,,,,,,15,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
22,745.0,,,,,,,,,,14,159,449,,,,,,,13,280,450,,,,,,,15,1084,686,,,,,,
23,781.0,,,,,,,,,,15,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
24,822.0,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
25,847.7,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,684,,,,,,
26,882.0,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,15,1084,685,,,,,,
27,914.0,,,,,,,,,,14,159,449,,,,,,,12,280,451,,,,,,,14,1084,685,,,,,,
28,945.1,,,,,,,,,,15,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
29,984.8,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,15,1084,685,,,,,,
30,1013.0,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
31,1047.2,,,,,,,,,,15,159,448,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
32,1080.8,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
33,1112.8,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
34,1144.8,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
35,1181.3,,,,,,,,,,14,159,449,,,,,,,12,280,451,,,,,,,14,1084,685,,,,,,
36,1217.1,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,15,1084,685,,,,,,
37,1244.6,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
38,1280.7,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
39,1313.1,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
40,1345.1,,,,,,,,,,15,160,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
41,1381.0,,,,,,,,,,15,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
42,1412.8,,,,,,,,,,15,159,449,,,,,,,12,280,450,,,,,,,14,1084,684,,,,,,
43,1444.9,,,,,,,,,,14,159,449,,,,,,,12,280,450,,,,,,,14,1084,685,,,,,,
