frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,144.2,45,22,43,,,,,,,,,,,,,,,,60,878,274,,,,,,,,,,,,,,,
1,144.2,48,21,45,,,,,,,,,,,,,,,,53,476,1018,,,,,,,,,,,,,,,
2,251.1,50,20,47,,,,,,,,,,,,,,,,62,359,991,,,,,,,,,,,,,,,
3,272.9,31,2,46,,,,,,,,,,,,,,,,35,622,96,,,,,,,,,,,,,,,
4,291.6,56,20,52,,,,,,,,,,,,,,,,55,443,117,,,,,,,,,,,,,,,
5,312.7,,,,,,,,,,12,94,575,,,,,,,,,,,,,,,,14,1064,688,,,,,,
6,312.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1064,687,,,,,,
7,322.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1064,689,,,,,,
8,331.9,,,,,,,,,,9,94,570,,,,,,,,,,,,,,,,14,1064,689,,,,,,
9,341.5,,,,,,,,,,15,96,576,,,,,,,13,254,562,,,,,,,14,1063,688,,,,,,
10,378.8,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1064,688,,,,,,
11,414.4,,,,,,,,,,15,96,576,,,,,,,13,254,562,,,,,,,14,1064,689,,,,,,
12,446.4,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1063,689,,,,,,
13,478.5,,,,,,,,,,15,95,576,,,,,,,13,254,563,,,,,,,14,1064,689,,,,,,
14,514.1,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1063,689,,,,,,
15,550.4,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1064,689,,,,,,
16,614.4,,,,,,,,,,15,95,576,,,,,,,13,254,562,,,,,,,14,1064,689,,,,,,
17,614.4,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1064,689,,,,,,
18,647.1,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1064,688,,,,,,
19,680.0,,,,,,,,,,15,96,576,,,,,,,13,254,562,,,,,,,14,1064,689,,,,,,
20,716.8,,,,,,,,,,15,96,576,,,,,,,13,254,563,,,,,,,14,1064,688,,,,,,
21,749.0,,,,,,,,,,14,95,576,,,,,,,13,254,562,,,,,,,14,1063,689,,,,,,
