frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,138.8,64,359,700,,,,,,,,,,,,,,,,54,682,454,,,,,,,,,,,,,,,
1,138.8,54,435,688,,,,,,,,,,,,,,,,47,574,363,,,,,,,,,,,,,,,
2,270.1,7,423,240,,,,,,,,,,,,,,,,53,997,854,,,,,,,,,,,,,,,
3,293.3,,,,,,,,,,,,,,,,,,,45,235,207,,,,,,,,,,,,,,,
4,316.0,13,1048,130,,,,,,,,,,,,,,,,41,161,386,,,,,,,,,,,,,,,
5,325.6,,,,,,,,,,13,237,267,,,,,,,,,,,,,,,,14,1086,687,,,,,,
6,334.7,,,,,,,,,,12,236,266,,,,,,,,,,,,,,,,7,1095,683,,,,,,
7,345.3,,,,,,,,,,13,237,267,,,,,,,9,356,294,,,,,,,,,,,,,,,
8,353.9,,,,,,,,,,13,237,267,,,,,,,,,,,,,,,,,,,,,,,,
9,362.5,,,,,,,,,,13,237,267,,,,,,,,,,,,,,,,7,1092,693,,,,,,
10,371.3,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
11,381.1,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,14,1086,687,,,,,,
12,412.6,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1086,687,,,,,,
13,447.9,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
14,480.3,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1085,687,,,,,,
15,514.6,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
16,545.7,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1086,687,,,,,,
17,580.7,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,14,1086,687,,,,,,
18,613.1,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
19,645.7,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
20,680.7,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
21,730.1,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
22,749.0,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
23,782.2,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
24,812.4,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
25,844.6,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
26,881.3,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
27,913.9,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1085,686,,,,,,
28,948.3,,,,,,,,,,13,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
29,983.2,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,14,1085,688,,,,,,
30,1013.7,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
31,1045.0,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
32,1080.5,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1085,688,,,,,,
33,1113.1,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1086,687,,,,,,
34,1148.6,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
35,1180.6,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
36,1213.1,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,15,1085,687,,,,,,
37,1244.7,,,,,,,,,,13,237,267,,,,,,,12,361,298,,,,,,,15,1085,687,,,,,,
38,1280.3,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1085,687,,,,,,
39,1312.7,,,,,,,,,,14,237,267,,,,,,,11,361,299,,,,,,,14,1086,687,,,,,,
40,1345.4,,,,,,,,,,14,237,267,,,,,,,12,361,298,,,,,,,14,1086,688,,,,,,
41,1380.5,,,,,,,,,,14,237,267,,,,,,,11,361,299,,,,,,,15,1086,687,,,,,,
42,1412.6,,,,,,,,,,14,237,267,,,,,,,12,361,299,,,,,,,14,1085,688,,,,,,
