frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,153.5,13,125,16,,,,,,,,,,,,,,,,59,145,933,,,,,,,,,,,,,,,
1,153.5,10,60,7,,,,,,,,,,,,,,,,60,249,822,,,,,,,,,,,,,,,
2,252.1,9,22,366,,,,,,,,,,,,,,,,57,308,816,,,,,,,,,,,,,,,
3,273.5,29,320,257,,,,,,,,,,,,,,,,58,1057,524,,,,,,,,,,,,,,,
4,296.6,9,98,390,,,,,,,,,,,,,,,,61,444,112,,,,,,,,,,,,,,,
5,308.2,,,,,,,,,,14,120,428,,,,,,,10,318,455,,,,,,,14,1061,687,,,,,,
6,324.1,,,,,,,,,,10,126,428,,,,,,,,,,,,,,,,,,,,,,,,
7,335.6,,,,,,,,,,,,,,,,,,,8,315,456,,,,,,,8,1052,683,,,,,,
8,346.0,,,,,,,,,,13,120,427,,,,,,,,,,,,,,,,,,,,,,,,
9,357.0,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
10,367.0,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1061,686,,,,,,
11,381.8,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
12,413.8,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,688,,,,,,
13,445.8,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
14,481.7,,,,,,,,,,15,120,427,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
15,513.9,,,,,,,,,,15,119,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
16,547.1,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
17,581.9,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
18,613.9,,,,,,,,,,15,119,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
19,646.3,,,,,,,,,,15,120,427,,,,,,,13,323,452,,,,,,,14,1060,687,,,,,,
20,683.3,,,,,,,,,,15,120,428,,,,,,,13,323,452,,,,,,,14,1060,687,,,,,,
21,735.4,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
22,789.2,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
23,803.5,,,,,,,,,,15,120,428,,,,,,,13,323,452,,,,,,,14,1060,687,,,,,,
24,818.8,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
25,848.2,,,,,,,,,,15,120,427,,,,,,,13,323,452,,,,,,,14,1060,686,,,,,,
26,882.0,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1061,686,,,,,,
27,919.0,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
28,947.1,,,,,,,,,,15,120,428,,,,,,,13,323,452,,,,,,,14,1060,686,,,,,,
29,984.9,,,,,,,,,,15,120,427,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
30,1014.3,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
31,1046.4,,,,,,,,,,15,119,427,,,,,,,13,323,452,,,,,,,14,1060,687,,,,,,
32,1083.6,,,,,,,,,,15,120,427,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
33,1117.4,,,,,,,,,,15,120,428,,,,,,,13,323,452,,,,,,,14,1060,687,,,,,,
34,1148.9,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
35,1182.3,,,,,,,,,,15,120,428,,,,,,,13,323,452,,,,,,,14,1060,686,,,,,,
36,1215.9,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,687,,,,,,
37,1246.3,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,688,,,,,,
38,1282.0,,,,,,,,,,15,120,428,,,,,,,13,323,453,,,,,,,14,1060,686,,,,,,
39,1314.0,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
40,1346.3,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
41,1382.0,,,,,,,,,,15,120,427,,,,,,,13,322,452,,,,,,,14,1060,686,,,,,,
42,1416.1,,,,,,,,,,15,120,428,,,,,,,13,322,452,,,,,,,14,1061,687,,,,,,
