frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.4,47,34,33,,,,,,,,,,,,,,,,65,1010,811,,,,,,,,,,,,,,,
1,129.4,47,33,33,,,,,,,,,,,,,,,,55,672,946,,,,,,,,,,,,,,,
2,230.5,47,33,33,,,,,,,,,,,,,,,,51,349,831,,,,,,,,,,,,,,,
3,253.5,18,48,11,,,,,,,,,,,,,,,,63,946,592,,,,,,,,,,,,,,,
4,280.5,34,9,33,,,,,,,,,,,,,,,,60,442,115,,,,,,,,,,,,,,,
5,296.6,,,,,,,,,,14,119,430,,,,,,,,,,,,,,,,15,1019,673,,,,,,
6,312.5,,,,,,,,,,12,114,434,,,,,,,,,,,,,,,,,,,,,,,,
8,333.7,,,,,,,,,,9,122,424,,,,,,,,,,,,,,,,9,1011,675,,,,,,
9,347.4,,,,,,,,,,15,119,431,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
10,356.8,,,,,,,,,,14,119,430,,,,,,,13,263,438,,,,,,,14,1019,675,,,,,,
11,373.8,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
12,405.9,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
13,441.9,,,,,,,,,,15,119,430,,,,,,,14,263,439,,,,,,,15,1019,674,,,,,,
14,473.9,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
15,506.1,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
16,542.7,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
17,577.6,,,,,,,,,,14,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
18,606.6,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
19,641.7,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,675,,,,,,
20,673.8,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
21,705.9,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
22,742.3,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
23,781.6,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,675,,,,,,
24,806.7,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
25,841.8,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
26,874.0,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
27,905.9,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
28,941.7,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
29,974.0,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
30,1006.3,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,675,,,,,,
31,1042.1,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
32,1075.1,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
33,1106.3,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
34,1141.9,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
35,1176.0,,,,,,,,,,15,119,430,,,,,,,14,263,438,,,,,,,15,1019,674,,,,,,
36,1206.1,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
37,1242.1,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
38,1274.8,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
39,1306.4,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
40,1342.0,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
41,1373.9,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
42,1406.4,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
43,1441.7,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
44,1474.4,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
45,1506.0,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
46,1541.7,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
47,1576.6,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
48,1606.1,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
49,1642.4,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
50,1677.6,,,,,,,,,,15,119,430,,,,,,,13,263,437,,,,,,,15,1019,674,,,,,,
51,1706.3,,,,,,,,,,15,119,429,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
52,1745.2,,,,,,,,,,15,119,429,,,,,,,13,263,438,,,,,,,15,1019,674,,,,,,
53,1774.1,,,,,,,,,,15,119,429,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
54,1805.9,,,,,,,,,,15,119,430,,,,,,,13,263,438,,,,,,,15,1019,675,,,,,,
55,1841.9,,,,,,,,,,15,119,429,,,,,,,13,263,438,,,,,,,14,1019,676,,,,,,
56,1874.0,,,,,,,,,,15,119,429,,,,,,,13,263,437,,,,,,,15,1019,674,,,,,,
57,1906.0,,,,,,,,,,15,119,429,,,,,,,13,263,437,,,,,,,14,1019,676,,,,,,
58,1942.0,,,,,,,,,,15,120,429,,,,,,,13,263,437,,,,,,,15,1019,675,,,,,,
