frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.7,58,44,450,,,,,,,,,,,,,,,,62,396,140,,,,,,,,,,,,,,,
1,128.7,15,481,743,,,,,,,,,,,,,,,,65,1080,788,,,,,,,,,,,,,,,
2,228.4,,,,,,,,,,,,,,,,,,,41,949,921,,,,,,,,,,,,,,,
3,250.6,,,,,,,,,,,,,,,,,,,62,397,143,,,,,,,,,,,,,,,
4,279.0,,,,,,,,,,,,,,,,,,,62,323,51,,,,,,,,,,,,,,,
5,287.4,,,,,,,,,,13,237,267,,,,,,,,,,,,,,,,14,1086,688,,,,,,
6,295.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1080,688,,,,,,
7,303.7,,,,,,,,,,12,235,263,,,,,,,,,,,,,,,,,,,,,,,,
8,311.9,,,,,,,,,,13,238,266,,,,,,,,,,,,,,,,,,,,,,,,
9,319.5,,,,,,,,,,14,237,267,,,,,,,12,365,299,,,,,,,14,1086,687,,,,,,
10,342.5,,,,,,,,,,14,237,267,,,,,,,12,366,299,,,,,,,14,1086,687,,,,,,
11,378.3,,,,,,,,,,13,237,267,,,,,,,11,365,299,,,,,,,15,1086,688,,,,,,
12,410.3,,,,,,,,,,13,237,267,,,,,,,12,365,299,,,,,,,14,1086,687,,,,,,
13,442.7,,,,,,,,,,14,237,267,,,,,,,11,365,299,,,,,,,14,1086,687,,,,,,
14,475.0,,,,,,,,,,14,237,267,,,,,,,12,365,299,,,,,,,14,1086,687,,,,,,
15,510.7,,,,,,,,,,14,237,267,,,,,,,12,365,299,,,,,,,15,1086,687,,,,,,
16,542.8,,,,,,,,,,14,237,267,,,,,,,11,365,299,,,,,,,14,1086,687,,,,,,
17,576.2,,,,,,,,,,13,237,267,,,,,,,12,365,298,,,,,,,15,1086,688,,,,,,
