frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,138.4,25,13,448,,,,,,,,,,,,,,,,55,747,1002,,,,,,,,,,,,,,,
1,138.4,38,431,702,,,,,,,,,,,,,,,,61,1093,773,,,,,,,,,,,,,,,
2,255.4,,,,,,,,,,,,,,,,,,,44,1011,891,,,,,,,,,,,,,,,
3,276.7,,,,,,,,,,,,,,,,,,,63,382,138,,,,,,,,,,,,,,,
4,295.7,10,274,184,,,,,,,,,,,,,,,,30,789,194,,,,,,,,,,,,,,,
5,313.9,,,,,,,,,,13,238,267,,,,,,,,,,,,,,,,14,1086,688,,,,,,
6,326.7,,,,,,,,,,11,235,264,,,,,,,,,,,,,,,,,,,,,,,,
7,336.6,,,,,,,,,,12,235,264,,,,,,,,,,,,,,,,,,,,,,,,
8,347.2,,,,,,,,,,13,238,267,,,,,,,,,,,,,,,,,,,,,,,,
9,364.2,,,,,,,,,,14,237,267,,,,,,,12,363,298,,,,,,,14,1086,687,,,,,,
10,378.1,,,,,,,,,,14,237,268,,,,,,,12,363,298,,,,,,,15,1086,688,,,,,,
11,385.3,,,,,,,,,,13,237,267,,,,,,,12,363,298,,,,,,,15,1086,688,,,,,,
12,407.5,,,,,,,,,,14,237,267,,,,,,,11,363,298,,,,,,,14,1086,687,,,,,,
13,441.6,,,,,,,,,,14,237,267,,,,,,,11,363,298,,,,,,,14,1086,687,,,,,,
14,473.7,,,,,,,,,,13,237,267,,,,,,,11,363,298,,,,,,,14,1086,687,,,,,,
