frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,135.2,48,163,497,,,,,,,,,,,,,,,,46,641,864,,,,,,,,,,,,,,,
1,135.2,40,88,167,,,,,,,,,,,,,,,,59,450,109,,,,,,,,,,,,,,,
2,232.6,36,86,178,,,,,,,,,,,,,,,,43,1004,809,,,,,,,,,,,,,,,
3,255.9,40,86,166,,,,,,,,,,,,,,,,51,444,118,,,,,,,,,,,,,,,
4,280.9,46,93,164,,,,,,,,,,,,,,,,51,446,120,,,,,,,,,,,,,,,
5,292.6,,,,,,,,,,14,318,179,,,,,,,,,,,,,,,,13,1091,685,,,,,,
6,302.0,,,,,,,,,,12,318,180,,,,,,,,,,,,,,,,,,,,,,,,
7,311.4,,,,,,,,,,,,,,,,,,,12,361,150,,,,,,,8,1083,681,,,,,,
8,320.4,,,,,,,,,,13,317,180,,,,,,,12,360,150,,,,,,,10,1085,687,,,,,,
9,329.1,,,,,,,,,,14,318,180,,,,,,,12,361,150,,,,,,,14,1090,686,,,,,,
10,345.9,,,,,,,,,,14,318,180,,,,,,,11,361,151,,,,,,,14,1091,686,,,,,,
11,382.0,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1091,686,,,,,,
12,413.7,,,,,,,,,,14,318,179,,,,,,,11,361,149,,,,,,,14,1090,686,,,,,,
13,445.9,,,,,,,,,,14,318,181,,,,,,,11,361,150,,,,,,,14,1091,686,,,,,,
14,487.8,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1090,686,,,,,,
15,515.9,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1090,686,,,,,,
16,546.2,,,,,,,,,,14,318,179,,,,,,,11,361,149,,,,,,,14,1090,686,,,,,,
17,582.0,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1091,686,,,,,,
18,614.1,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,14,1090,686,,,,,,
19,646.3,,,,,,,,,,14,318,180,,,,,,,11,362,150,,,,,,,13,1090,686,,,,,,
20,682.2,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
21,715.3,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1091,686,,,,,,
22,746.0,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1090,686,,,,,,
23,781.9,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,14,1091,686,,,,,,
24,814.6,,,,,,,,,,14,318,180,,,,,,,11,361,149,,,,,,,14,1090,686,,,,,,
25,846.1,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
26,882.1,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
27,925.1,,,,,,,,,,14,318,180,,,,,,,11,362,151,,,,,,,14,1090,686,,,,,,
28,948.5,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,14,1090,686,,,,,,
29,982.8,,,,,,,,,,14,318,180,,,,,,,11,362,150,,,,,,,14,1090,686,,,,,,
30,1014.5,,,,,,,,,,14,318,180,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
31,1046.4,,,,,,,,,,14,318,179,,,,,,,10,362,150,,,,,,,13,1090,685,,,,,,
32,1081.7,,,,,,,,,,14,318,180,,,,,,,11,361,151,,,,,,,13,1090,686,,,,,,
33,1114.7,,,,,,,,,,14,317,179,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
34,1146.2,,,,,,,,,,14,318,179,,,,,,,11,362,150,,,,,,,14,1091,686,,,,,,
35,1181.9,,,,,,,,,,14,317,179,,,,,,,11,361,150,,,,,,,13,1090,685,,,,,,
36,1214.1,,,,,,,,,,14,317,179,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
37,1246.6,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1091,686,,,,,,
38,1282.0,,,,,,,,,,14,318,179,,,,,,,11,362,150,,,,,,,13,1090,686,,,,,,
39,1314.6,,,,,,,,,,14,318,179,,,,,,,11,362,151,,,,,,,14,1091,686,,,,,,
40,1346.1,,,,,,,,,,14,318,179,,,,,,,11,362,149,,,,,,,14,1091,686,,,,,,
41,1382.2,,,,,,,,,,14,317,180,,,,,,,11,361,150,,,,,,,13,1090,685,,,,,,
42,1415.8,,,,,,,,,,14,317,179,,,,,,,11,361,151,,,,,,,13,1091,685,,,,,,
43,1446.2,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1091,686,,,,,,
44,1481.9,,,,,,,,,,14,318,179,,,,,,,11,362,151,,,,,,,13,1091,686,,,,,,
45,1514.6,,,,,,,,,,14,318,179,,,,,,,11,361,149,,,,,,,13,1090,686,,,,,,
46,1546.0,,,,,,,,,,14,318,179,,,,,,,10,362,150,,,,,,,13,1091,685,,,,,,
47,1581.9,,,,,,,,,,14,318,179,,,,,,,11,361,150,,,,,,,13,1091,686,,,,,,
48,1614.9,,,,,,,,,,14,317,179,,,,,,,11,361,150,,,,,,,13,1090,686,,,,,,
49,1646.0,,,,,,,,,,14,318,179,,,,,,,11,362,151,,,,,,,13,1090,686,,,,,,
50,1682.0,,,,,,,,,,14,318,179,,,,,,,11,362,151,,,,,,,14,1090,686,,,,,,
51,1714.0,,,,,,,,,,15,318,179,,,,,,,11,362,151,,,,,,,13,1090,686,,,,,,
52,1746.2,,,,,,,,,,14,318,179,,,,,,,11,364,152,,,,,,,13,1090,686,,,,,,
53,1782.1,,,,,,,,,,14,318,180,,,,,,,11,368,154,,,,,,,13,1091,686,,,,,,
54,1814.1,,,,,,,,,,14,318,180,,,,,,,11,374,158,,,,,,,13,1090,685,,,,,,
55,1881.9,,,,,,,,,,15,318,178,,,,,,,10,396,173,,,,,,,13,1091,686,,,,,,
56,1913.9,,,,,,,,,,14,319,180,,,,,,,11,411,183,,,,,,,14,1090,686,,,,,,
57,1946.3,,,,,,,,,,14,318,179,,,,,,,11,429,196,,,,,,,13,1090,686,,,,,,
58,1982.1,,,,,,,,,,13,318,180,,,,,,,11,450,210,,,,,,,13,1090,686,,,,,,
59,2014.6,,,,,,,,,,13,318,180,,,,,,,10,474,226,,,,,,,13,1091,686,,,,,,
60,2046.8,,,,,,,,,,13,318,180,,,,,,,9,503,244,,,,,,,13,1091,686,,,,,,
61,2082.0,,,,,,,,,,13,318,181,,,,,,,10,532,265,,,,,,,13,1091,686,,,,,,
